z_nm,T_article_K,T_model_0_ns_K,model_minus_article_0_ns_K,T_model_1_ns_K,model_minus_article_1_ns_K,T_model_5_ns_K,model_minus_article_5_ns_K
1.120512820512820582e+02,8.800000000000000000e+02,8.531564810610270797e+02,-2.684351893897292030e+01,8.178273077021584641e+02,-6.217269229784153595e+01,8.045129174470674798e+02,-7.548708255293252023e+01
1.179487179487179560e+02,8.800000000000000000e+02,8.065793765803111910e+02,-7.342062341968880901e+01,7.884751872295698831e+02,-9.152481277043011687e+01,7.763745521835771797e+02,-1.036254478164228203e+02
1.238461538461538538e+02,8.800000000000000000e+02,7.604207812533754804e+02,-1.195792187466245196e+02,7.569210835330759437e+02,-1.230789164669240563e+02,7.490136459809550615e+02,-1.309863540190449385e+02
1.297435897435897516e+02,5.868421052631578050e+02,7.184664438059841132e+02,1.316243385428263082e+02,7.241545391954945217e+02,1.373124339323367167e+02,7.222562739101294937e+02,1.354141686469716888e+02
1.356410256410256352e+02,5.710526315789472847e+02,6.803340169239889974e+02,1.092813853450417128e+02,6.912291797743361030e+02,1.201765481953888184e+02,6.959897828452583326e+02,1.249371512663110479e+02
1.415384615384615472e+02,5.499999999999998863e+02,6.456754344253148474e+02,9.567543442531496112e+01,6.590710987159208116e+02,1.090710987159209253e+02,6.701554231521140537e+02,1.201554231521141674e+02
1.474358974358974592e+02,5.131578947368420813e+02,6.141743196803178080e+02,1.010164249434757266e+02,6.283679837501873635e+02,1.152100890133452822e+02,6.447368312069411331e+02,1.315789364700990518e+02
1.533333333333333428e+02,4.947368421052631220e+02,5.855431013568041863e+02,9.080625925154106426e+01,5.995453647374381489e+02,1.048085226321750270e+02,6.197469583487384170e+02,1.250101162434752951e+02
1.592307692307692264e+02,4.842105263157893660e+02,5.595203915578634906e+02,7.530986524207412458e+01,5.728006896333748728e+02,8.859016331758550677e+01,5.952154686593784163e+02,1.110049423435890503e+02
1.651282051282051384e+02,4.657894736842104066e+02,5.358686025277133922e+02,7.007912884350298555e+01,5.481586177504849502e+02,8.236914406627454355e+01,5.711780189352127763e+02,1.053885452510023697e+02
1.710256410256410504e+02,4.500000000000000000e+02,5.143717802248288535e+02,6.437178022482885353e+01,5.255206183752108018e+02,7.552061837521080179e+01,5.476682480517525846e+02,9.766824805175258462e+01
1.769230769230769340e+02,4.289473684210524880e+02,4.948414925712647232e+02,6.589412415021223524e+01,5.047019581500204026e+02,7.575458972896791465e+01,5.247153068441033383e+02,9.576793842305085036e+01
1.828205128205128176e+02,4.263157894736841627e+02,4.770923877226520631e+02,5.077659824896790042e+01,4.854168928281703188e+02,5.910110335448615615e+01,5.023350425276959754e+02,7.601925305401181276e+01
1.887179487179487296e+02,4.052631578947366506e+02,4.609596829821825281e+02,5.569652508744587749e+01,4.672858937754202202e+02,6.202273588068356958e+01,4.805350228802227548e+02,7.527186498548610416e+01
1.946153846153846416e+02,3.947368421052631220e+02,4.462962167604555361e+02,5.155937465519241414e+01,4.498157374269539446e+02,5.507889532169082258e+01,4.593166788489245391e+02,6.457983674366141713e+01
2.005128205128205252e+02,3.921052631578945693e+02,4.329682214220817968e+02,4.086295826418722754e+01,4.323957281172303055e+02,4.029046495933573624e+01,4.386772768384799406e+02,4.657201368058537128e+01
2.064102564102564088e+02,3.736842105263156100e+02,4.208541046126942433e+02,4.716989408637863335e+01,4.143491784493433556e+02,4.066496792302774566e+01,4.186127864153220912e+02,4.492857588900648125e+01
2.123076923076923208e+02,3.710526315789472847e+02,4.098433414331447580e+02,3.879070985419747331e+01,3.950714988498751268e+02,2.401886727092784213e+01,3.991201730181036851e+02,2.806754143915640043e+01
2.182051282051282328e+02,3.710526315789472847e+02,3.998354673819201253e+02,2.878283580297284061e+01,3.742544663581913937e+02,3.201834779244109086e+00,3.801986587950055423e+02,9.146027216058257636e+00
2.241025641025641164e+02,3.578947368421052033e+02,3.907391629029359592e+02,3.284442606083075589e+01,3.521194640987952198e+02,-5.775272743309983525e+00,3.618497336885155278e+02,3.954996846410324451e+00
2.300000000000000000e+02,3.605263157894735286e+02,3.838073413680858721e+02,2.328102557861234345e+01,3.333129138177143886e+02,-2.721340197175914000e+01,3.470408830866816174e+02,-1.348543270279191120e+01
