r_um,T_article_K,T_eq5_K,eq5_minus_article_K,T_model_0_ns_K,model_minus_article_0_ns_K,T_model_1_ns_K,model_minus_article_1_ns_K,T_model_5_ns_K,model_minus_article_5_ns_K
-2.435897435897435770e+01,8.800000000000000000e+02,7.418358626287514426e+02,-1.381641373712485574e+02,7.420045810403706810e+02,-1.379954189596293190e+02,7.427403322402153663e+02,-1.372596677597846337e+02,7.314336091219703349e+02,-1.485663908780296651e+02
-2.179487179487179205e+01,8.800000000000000000e+02,8.747241796531532145e+02,-5.275820346846785469e+00,8.565609876751132106e+02,-2.343901232488678943e+01,8.262680705510699681e+02,-5.373192944893003187e+01,7.952762242925756482e+02,-8.472377570742435182e+01
-1.923076923076922640e+01,8.800000000000000000e+02,1.026063894398739421e+03,1.460638943987394214e+02,8.752327747065814947e+02,-4.767225293418505316e+00,8.740898724335623911e+02,-5.910127566437608948e+00,8.517751305289020820e+02,-2.822486947109791799e+01
-1.666666666666666430e+01,8.800000000000000000e+02,1.190855889910252927e+03,3.108558899102529267e+02,8.815127324673201201e+02,1.512732467320120122e+00,8.874254562099218901e+02,7.425456209921890149e+00,9.151813278843002308e+02,3.518132788430023083e+01
-1.410256410256410220e+01,9.000000000000000000e+02,1.361560172321081154e+03,4.615601723210811542e+02,8.903521874515611216e+02,-9.647812548438878366e+00,9.859339708822743660e+02,8.593397088227436598e+01,1.024177559487260623e+03,1.241775594872606234e+02
-1.153846153846153300e+01,9.447368421052631220e+02,1.528555363743709677e+03,5.838185216384465548e+02,9.901333202545000631e+02,4.539647814923694114e+01,1.112808029300989801e+03,1.680711871957266794e+02,1.156999481921087636e+03,2.122626398158245138e+02
-8.974358974358970897e+00,9.894736842105262440e+02,1.680878792130352622e+03,6.914051079198263778e+02,1.142005657713082428e+03,1.525319735025561840e+02,1.245075287574441973e+03,2.556016033639157286e+02,1.288378535772042369e+03,2.989048515615161250e+02
-6.410256410256408799e+00,1.010526315789473642e+03,1.807366128669987802e+03,7.968398128805141596e+02,1.268781294889519586e+03,2.582549791000459436e+02,1.363525135630879504e+03,3.529988198414058616e+02,1.402397746698628225e+03,3.918714309091545829e+02
-3.846153846153839595e+00,1.039473684210526244e+03,1.898076038208515229e+03,8.586023539979889847e+02,1.358983725386838842e+03,3.195100411763125976e+02,1.451053009116649264e+03,4.115793249061230199e+02,1.485376581857658948e+03,4.459028976471327042e+02
-1.282051282051277497e+00,1.050000000000000000e+03,1.945486785376747548e+03,8.954867853767475481e+02,1.406496951274188859e+03,3.564969512741888593e+02,1.497931322656964085e+03,4.479313226569640847e+02,1.529577224391036452e+03,4.795772243910364523e+02
1.282051282051284602e+00,1.044736842105263122e+03,1.945486785376747548e+03,9.007499432714844261e+02,1.406496951274188859e+03,3.617601091689257373e+02,1.497931322656964085e+03,4.531944805517009627e+02,1.529577224391036452e+03,4.848403822857733303e+02
3.846153846153853806e+00,1.034210526315789366e+03,1.898076038208514774e+03,8.638655118927254080e+02,1.358983725386838387e+03,3.247731990710490209e+02,1.451053009116648809e+03,4.168424828008594432e+02,1.485376581857658493e+03,4.511660555418691274e+02
6.410256410256415904e+00,9.973684210526315610e+02,1.807366128669987575e+03,8.099977076173560135e+02,1.268781294889519131e+03,2.714128738368875702e+02,1.363525135630879277e+03,3.661567145782477155e+02,1.402397746698627998e+03,4.050293256459964368e+02
8.974358974358978003e+00,9.789473684210526017e+02,1.680878792130352394e+03,7.019314237092997928e+02,1.142005657713082201e+03,1.630582892920295990e+02,1.245075287574441518e+03,2.661279191533889161e+02,1.288378535772042142e+03,3.094311673509895400e+02
1.153846153846154721e+01,9.236842105263157237e+02,1.528555363743708767e+03,6.048711532173930436e+02,9.901333202544991536e+02,6.644910972818342998e+01,1.112808029300989119e+03,1.891238187746733956e+02,1.156999481921086954e+03,2.333152713947712300e+02
1.410256410256410220e+01,8.842105263157894797e+02,1.361560172321081154e+03,4.773496460052916746e+02,8.903521874515611216e+02,6.141661135771641966e+00,9.859339708822743660e+02,1.017234445664848863e+02,1.024177559487260623e+03,1.399670331714711438e+02
1.666666666666667140e+01,8.800000000000000000e+02,1.190855889910252472e+03,3.108558899102524720e+02,8.815127324673201201e+02,1.512732467320120122e+00,8.874254562099217765e+02,7.425456209921776463e+00,9.151813278843000035e+02,3.518132788430000346e+01
1.923076923076924061e+01,8.800000000000000000e+02,1.026063894398738512e+03,1.460638943987385119e+02,8.752327747065813810e+02,-4.767225293418619003e+00,8.740898724335623911e+02,-5.910127566437608948e+00,8.517751305289017409e+02,-2.822486947109825905e+01
2.179487179487179560e+01,8.800000000000000000e+02,8.747241796531531008e+02,-5.275820346846899156e+00,8.565609876751130969e+02,-2.343901232488690312e+01,8.262680705510698544e+02,-5.373192944893014555e+01,7.952762242925755345e+02,-8.472377570742446551e+01
2.435897435897436480e+01,8.800000000000000000e+02,7.418358626287511015e+02,-1.381641373712488985e+02,7.420045810403703399e+02,-1.379954189596296601e+02,7.427403322402150252e+02,-1.372596677597849748e+02,7.314336091219702212e+02,-1.485663908780297788e+02
2.692307692307693401e+01,8.800000000000000000e+02,6.298845901985228011e+02,-2.501154098014771989e+02,6.302600353298674918e+02,-2.497399646701325082e+02,6.438038658856128222e+02,-2.361961341143871778e+02,6.377405536472804215e+02,-2.422594463527195785e+02
2.948717948717948900e+01,5.684210526315788456e+02,5.391929546483489730e+02,-2.922809798322987263e+01,5.392078151426593422e+02,-2.921323748891950345e+01,5.502435765655037585e+02,-1.817747606607508715e+01,5.457005164823117411e+02,-2.272053614926710452e+01
3.205128205128205821e+01,5.052631578947367643e+02,4.684577788519065393e+02,-3.680537904283022499e+01,4.687750627628044526e+02,-3.648809513193231169e+01,4.765616614304462360e+02,-2.870149646429052837e+01,4.733569982702712196e+02,-3.190615962446554477e+01
3.461538461538462741e+01,4.526315789473683253e+02,4.152250087784643711e+02,-3.740657016890395425e+01,4.153184502435101990e+02,-3.731312870385812630e+01,4.206388593721158600e+02,-3.199271957525246535e+01,4.184495383429657522e+02,-3.418204060440257308e+01
