r_um,fluence_mJ_cm2
-3.304347826086956275e+01,5.785123966942149032e+00
-3.286956521739130466e+01,5.909090909090909172e+00
-3.269565217391304657e+01,6.074380165289256617e+00
-3.252173913043478137e+01,6.157024793388429451e+00
-3.234782608695652328e+01,6.322314049586776896e+00
-3.217391304347825809e+01,6.404958677685950619e+00
-3.200000000000000000e+01,6.487603305785124341e+00
-3.182608695652173836e+01,6.611570247933884481e+00
-3.165217391304347672e+01,6.735537190082644621e+00
-3.147826086956521863e+01,6.818181818181818343e+00
-3.130434782608695699e+01,6.983471074380164900e+00
-3.113043478260869534e+01,7.107438016528925928e+00
-3.095652173913043370e+01,7.231404958677686068e+00
-3.078260869565217561e+01,7.314049586776859790e+00
-3.060869565217391397e+01,7.479338842975206347e+00
-3.043478260869565233e+01,7.644628099173553792e+00
-3.026086956521739069e+01,7.727272727272727515e+00
-3.008695652173912904e+01,7.851239669421487655e+00
-2.991304347826087096e+01,7.975206611570247794e+00
-2.973913043478260931e+01,8.140495867768594351e+00
-2.956521739130434767e+01,8.264462809917354491e+00
-2.939130434782608603e+01,8.429752066115701936e+00
-2.921739130434782439e+01,8.512396694214876547e+00
-2.904347826086956630e+01,8.760330578512396826e+00
-2.886956521739130466e+01,8.801652892561984132e+00
-2.869565217391304301e+01,9.008264462809917106e+00
-2.852173913043478137e+01,9.090909090909091717e+00
-2.834782608695652328e+01,9.256198347107437385e+00
-2.817391304347826164e+01,9.421487603305784830e+00
-2.800000000000000000e+01,9.586776859504132275e+00
-2.782608695652173836e+01,9.793388429752065250e+00
-2.765217391304347672e+01,9.917355371900827166e+00
-2.747826086956521863e+01,1.000000000000000000e+01
-2.730434782608695699e+01,1.020661157024793475e+01
-2.713043478260869534e+01,1.033057851239669489e+01
-2.695652173913043370e+01,1.049586776859504056e+01
-2.678260869565217561e+01,1.066115702479338800e+01
-2.660869565217391397e+01,1.082644628099173545e+01
-2.643478260869565233e+01,1.099173553719008289e+01
-2.626086956521739069e+01,1.111570247933884303e+01
-2.608695652173912904e+01,1.132231404958677601e+01
-2.591304347826087096e+01,1.144628099173553792e+01
-2.573913043478260931e+01,1.169421487603305820e+01
-2.556521739130434767e+01,1.185950413223140565e+01
-2.539130434782608603e+01,1.198347107438016579e+01
-2.521739130434782439e+01,1.210743801652892593e+01
-2.504347826086956630e+01,1.235537190082644621e+01
-2.486956521739130466e+01,1.252066115702479365e+01
-2.469565217391304301e+01,1.268595041322314110e+01
-2.452173913043478137e+01,1.293388429752066138e+01
