t	wavelength_um	x_um	m	epsilon_real	epsilon_imag
0.7	5.4	-26.5765765765766	0.0250879249706916	14.3052134657964	0.0123454682569225
0.7	5.4	-26.5165165165165	0.025177111460816	14.3058974646132	0.0123903953960959
0.7	5.4	-26.4564564564565	0.025421200802209	14.3077697536244	0.0125133922173822
0.7	5.4	-26.3963963963964	0.0253942101538819	14.3075627006125	0.0124997888454337
0.7	5.4	-26.3363363363363	0.0250280761417924	14.3047544986285	0.0123153239840768
0.7	5.4	-26.2762762762763	0.0249811358838322	14.3043945423825	0.0122916837783604
0.7	5.4	-26.2162162162162	0.0252252252252251	14.3062664877052	0.0124146355179996
0.7	5.4	-26.1561561561562	0.0253223915592027	14.3070117850539	0.0124635953921895
0.7	5.4	-26.0960960960961	0.0253223915592027	14.3070117850539	0.0124635953921895
0.7	5.4	-26.036036036036	0.0254885600723818	14.3082865087621	0.0125473444983654
0.7	5.4	-25.975975975976	0.0257326494137748	14.3101593441643	0.0126704130027373
0.7	5.4	-25.9159159159159	0.025791324736225	14.3106096088423	0.012700005157171
0.7	5.4	-25.8558558558559	0.025791324736225	14.3106096088423	0.012700005157171
0.7	5.4	-25.7957957957958	0.0259959842609314	14.312180325821	0.0128032480217361
0.7	5.4	-25.7357357357357	0.0262400736023244	14.3140540519349	0.0129264334159214
0.7	5.4	-25.6756756756757	0.0270439255198927	14.3202277678845	0.0133325140586532
0.7	5.4	-25.6156156156156	0.0278982382147681	14.3267941331866	0.0137647560388076
0.7	5.4	-25.5555555555556	0.0286309756415266	14.3324302473269	0.0141360377131916
0.7	5.4	-25.4954954954955	0.0293907037166123	14.3382780627353	0.0145215338708324
0.7	5.4	-25.4354354354354	0.0304891057528806	14.3467401119157	0.0150798482272166
0.7	5.4	-25.3753753753754	0.0314936272732286	14.3544865538096	0.015591449929259
0.7	5.4	-25.3153153153153	0.0319818059560146	14.3582538201166	0.0158404266379279
0.7	5.4	-25.2552552552553	0.032640377775196	14.3633387464202	0.0161766668411362
0.7	5.4	-25.1951951951952	0.033860824482161	14.3727703150901	0.016800875858404
0.7	5.4	-25.1351351351351	0.0351192927980735	14.3825070574564	0.0174460285958117
0.7	5.4	-25.0750750750751	0.0364617841757349	14.3929066044444	0.0181359360169581
0.7	5.4	-25.015015015015	0.0372801875732707	14.3992527809409	0.0185573672933994
0.7	5.4	-24.954954954955	0.0372801875732707	14.3992527809409	0.0185573672933994
0.7	5.4	-24.8948948948949	0.0377383244909622	14.4028074659021	0.0187935644290516
0.7	5.4	-24.8348348348348	0.0387146818565341	14.4103881459915	0.0192976133282918
0.7	5.4	-24.7747747747748	0.0394234797517329	14.415895800663	0.0196641124887555
0.7	5.4	-24.7147147147147	0.0399116584345188	14.4196912935076	0.019916819466744
0.7	5.4	-24.6546546546547	0.0403998371173048	14.4234885343496	0.0201697581432324
0.7	5.4	-24.5945945945946	0.0408880158000908	14.4272875243915	0.0204229287583664
0.7	5.4	-24.5345345345345	0.0415484652295906	14.4324299057248	0.0207658089677835
