profile	wavelength_um	x_um	m	n_eff	k_eff
3	3.5	0.0900900900900901	0.970319634703196	5.32660923550322	0.0933142492450718
3	3.5	0.15015015015015	0.971007537217582	5.32834605640434	0.0934638795016756
3	3.5	0.21021021021021	0.972195940232472	5.33135018057642	0.0937229547464935
3	3.5	0.27027027027027	0.972602739726028	5.33237957538216	0.0938118067563986
3	3.5	0.33033033033033	0.972602739726028	5.33237957538216	0.0938118067563986
3	3.5	0.39039039039039	0.973478044254301	5.33459634556496	0.0940032805996619
3	3.5	0.45045045045045	0.974666447269187	5.33761008017734	0.0942638855004321
3	3.5	0.510510510510511	0.97488584474886	5.33816696913776	0.0943120780243878
3	3.5	0.570570570570571	0.97488584474886	5.33816696913776	0.0943120780243878
3	3.5	0.630630630630631	0.97488584474886	5.33816696913776	0.0943120780243878
3	3.5	0.690690690690691	0.97488584474886	5.33816696913776	0.0943120780243878
3	3.5	0.750750750750751	0.97604225229796	5.34110485546465	0.0945665103899933
3	3.5	0.810810810810811	0.977168949771688	5.34397150219768	0.0948150829612057
3	3.5	0.870870870870871	0.977168949771688	5.34397150219768	0.0948150829612057
3	3.5	0.930930930930931	0.977168949771688	5.34397150219768	0.0948150829612057
3	3.5	0.990990990990991	0.977168949771688	5.34397150219768	0.0948150829612057
3	3.5	1.05105105105105	0.977667164881778	5.34524044363689	0.0949252131296022
3	3.5	1.11111111111111	0.98004397091155	5.35130542780798	0.09545241629776
3	3.5	1.17117117117117	0.981735159817352	5.35563233093786	0.0958293744184177
3	3.5	1.23123123123123	0.981735159817352	5.35563233093786	0.0958293744184177
3	3.5	1.29129129129129	0.981735159817352	5.35563233093786	0.0958293744184177
3	3.5	1.35135135135135	0.981735159817352	5.35563233093786	0.0958293744184177
3	3.5	1.41141141141141	0.981735159817352	5.35563233093786	0.0958293744184177
3	3.5	1.47147147147147	0.981735159817352	5.35563233093786	0.0958293744184177
3	3.5	1.53153153153153	0.981735159817352	5.35563233093786	0.0958293744184177
3	3.5	1.59159159159159	0.981735159817352	5.35563233093786	0.0958293744184177
3	3.5	1.65165165165165	0.983170384996869	5.3593118388429	0.0961504818820014
3	3.5	1.71171171171171	0.985547191026645	5.36542047145434	0.0966846946589512
3	3.5	1.77177177177177	0.986301369863015	5.3673627570866	0.0968548441685579
3	3.5	1.83183183183183	0.986301369863015	5.3673627570866	0.0968548441685579
3	3.5	1.89189189189189	0.986301369863015	5.3673627570866	0.0968548441685579
3	3.5	1.95195195195195	0.986301369863015	5.3673627570866	0.0968548441685579
3	3.5	2.01201201201201	0.985302654252426	5.36479111124943	0.0966295912818778
3	3.5	2.07207207207207	0.98411425123754	5.36173540085879	0.0963622604617812
3	3.5	2.13213213213213	0.984018264840184	5.36148880048636	0.0963407016978738
3	3.5	2.19219219219219	0.984018264840184	5.36148880048636	0.0963407016978738
3	3.5	2.25225225225225	0.984018264840184	5.36148880048636	0.0963407016978738
3	3.5	2.31231231231231	0.983926849223653	5.36125397172503	0.0963201741679294
3	3.5	2.37237237237237	0.982738446208767	5.35820374646242	0.0960537263835361
3	3.5	2.43243243243243	0.981920276440825	5.35610653046423	0.0958707290050649
3	3.5	2.49249249249249	0.983108679455711	5.35915350169627	0.0961366535189487
3	3.5	2.55255255255255	0.984018264840184	5.36148880048636	0.0963407016978738
3	3.5	2.61261261261261	0.984018264840184	5.36148880048636	0.0963407016978738
3	3.5	2.67267267267267	0.984390783477541	5.36244601764193	0.0964243980654838
3	3.5	2.73273273273273	0.98557918649243	5.36550283253843	0.096691906847122
3	3.5	2.79279279279279	0.986301369863015	5.3673627570866	0.0968548441685579
3	3.5	2.85285285285285	0.986301369863015	5.3673627570866	0.0968548441685579
3	3.5	2.91291291291291	0.986301369863015	5.3673627570866	0.0968548441685579
3	3.5	2.97297297297297	0.986301369863015	5.3673627570866	0.0968548441685579
3	3.5	3.03303303303303	0.986301369863015	5.3673627570866	0.0968548441685579
3	3.5	3.09309309309309	0.986301369863015	5.3673627570866	0.0968548441685579
3	3.5	3.15315315315315	0.986301369863015	5.3673627570866	0.0968548441685579
3	3.5	3.21321321321321	0.986301369863015	5.3673627570866	0.0968548441685579
3	3.5	3.27327327327327	0.987142393535087	5.3695309617724	0.0970449516536182
3	3.5	3.33333333333333	0.988330796549976	5.37259880383928	0.0973142399273492
3	3.5	3.39339339339339	0.988584474885844	5.37325428921195	0.0973718226901836
3	3.5	3.45345345345345	0.988584474885844	5.37325428921195	0.0973718226901836
3	3.5	3.51351351351351	0.988584474885844	5.37325428921195	0.0973718226901836
3	3.5	3.57357357357357	0.988584474885844	5.37325428921195	0.0973718226901836
3	3.5	3.63363363363363	0.988584474885844	5.37325428921195	0.0973718226901836
3	3.5	3.69369369369369	0.988584474885844	5.37325428921195	0.0973718226901836
3	3.5	3.75375375375375	0.988584474885844	5.37325428921195	0.0973718226901836
3	3.5	3.81381381381381	0.988584474885844	5.37325428921195	0.0973718226901836
3	3.5	3.87387387387387	0.988584474885844	5.37325428921195	0.0973718226901836
3	3.5	3.93393393393393	0.989014128283536	5.37436497819358	0.0974694307300016
3	3.5	3.99399399399399	0.991390934313308	5.38052054468598	0.0980112245909462
3	3.5	4.05405405405405	0.993150684931508	5.38509043706579	0.0984143723074571
3	3.5	4.11411411411411	0.993150684931508	5.38509043706579	0.0984143723074571
3	3.5	4.17417417417417	0.993150684931508	5.38509043706579	0.0984143723074571
3	3.5	4.23423423423423	0.993150684931508	5.38509043706579	0.0984143723074571
3	3.5	4.29429429429429	0.993150684931508	5.38509043706579	0.0984143723074571
3	3.5	4.35435435435435	0.993150684931508	5.38509043706579	0.0984143723074571
3	3.5	4.41441441441441	0.993740315658124	5.38662401686107	0.0985498378009309
3	3.5	4.47447447447447	0.99492871867301	5.38971857609572	0.0988234582874433
3	3.5	4.53453453453453	0.99543378995434	5.39103523289247	0.098939986111613
