x_t_over_tau,B_terms_5,relative_error_terms_5,pseudo_Xc_terms_5,B_terms_10,relative_error_terms_10,pseudo_Xc_terms_10,B_terms_20,relative_error_terms_20,pseudo_Xc_terms_20,B_terms_50,relative_error_terms_50,pseudo_Xc_terms_50,B_terms_120,relative_error_terms_120,pseudo_Xc_terms_120,B_terms_300,relative_error_terms_300,pseudo_Xc_terms_300,B_terms_800,relative_error_terms_800,pseudo_Xc_terms_800
2.300430119772916963e-04,1.706226702390123418e-07,4.917863642200000000e+10,1.706226556829653631e-07,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.469446951953614189e-18,0.000000000000000000e+00,3.469446951953614189e-18,3.469446951953614189e-18,0.000000000000000000e+00,3.469446951953614189e-18
2.465811075822603774e-04,1.828396277332722253e-07,5.269993467600000000e+10,1.828396110181085121e-07,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.734723475976807094e-18,5.000000000000000000e-01,1.734723475976807094e-18,3.469446951953614189e-18,0.000000000000000000e+00,3.469446951953614189e-18
2.643081486974105496e-04,1.959275510859948000e-07,1.129445434950000000e+11,1.959275318921934074e-07,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.734723475976807094e-18,0.000000000000000000e+00,1.734723475976807094e-18,1.734723475976807094e-18,0.000000000000000000e+00,1.734723475976807094e-18
2.833096101839323875e-04,2.099479685206684376e-07,2.099479685206684268e+293,2.099479464815952309e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.469446951953614189e-18,3.469446951953613855e+282,3.469446951953614189e-18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.036771118035457235e-04,2.249666708649400437e-07,2.593689126500000000e+10,2.249666455599404617e-07,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.469446951953614189e-18,5.999999999999999778e-01,3.469446951953614189e-18,3.469446951953614189e-18,5.999999999999999778e-01,3.469446951953614189e-18
3.255088599835056465e-04,2.410539942775818956e-07,4.631938896133333588e+10,2.410539652240701663e-07,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.469446951953614189e-18,3.333333333333333148e-01,3.469446951953614189e-18,5.204170427930421283e-18,0.000000000000000000e+00,5.204170427930421283e-18
3.489101213406773793e-04,2.582851198612567956e-07,7.444561725100000000e+10,2.582850865056581097e-07,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.469446951953614189e-18,0.000000000000000000e+00,3.469446951953614189e-18
3.739937302478797796e-04,2.767403908497667597e-07,7.976498695000000000e+10,2.767403525571482906e-07,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.469446951953614189e-18,0.000000000000000000e+00,3.469446951953614189e-18,1.040834085586084257e-17,2.000000000000000000e+00,1.040834085586084257e-17
4.008806328898464845e-04,2.965056480203065448e-07,2.136548361400000000e+10,2.965056040625111782e-07,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.469446951953614189e-18,7.500000000000000000e-01,3.469446951953614189e-18,1.040834085586084257e-17,2.500000000000000000e-01,1.040834085586084257e-17
4.297004704320839491e-04,3.176725840228766806e-07,3.052096279433333206e+10,3.176725335649466652e-07,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.469446951953614189e-18,6.666666666666666297e-01,3.469446951953614189e-18,6.938893903907228378e-18,3.333333333333333148e-01,6.938893903907228378e-18
